,Satiety Index,Insulin Index,Food_x,Group,Closest_Match,Food_y,serving_size,calories,total_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
0,0.50237103,0.300037946,beef loin,animal,beerwurst pork beef,beerwurst pork beef,100 g,276.0,23g,62mg,732.00 mg,0,5.00 mcg,0.00 mcg,2.975 mg,0.297 mg,0.173 mg,0.246 mg,10.00 IU,3.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.16 mcg,0.230 mg,0.6 mg,0,0,0,1.6 mcg,27.00 mg,0.103 mg,1.73 mg,19.00 mg,0.155 mg,135.00 mg,244.00 mg,17.4 mcg,2.21 mg,14.00 g,0.917 g,0.979 g,1.385 g,0.178 g,2.286 g,0.880 g,0.537 g,0,0.682 g,1.202 g,1.300 g,0.387 g,0.598 g,0.702 g,0.602 g,0.668 g,0.174 g,0.507 g,0.769 g,4.27 g,0.9 g,0.00 g,0,0,0,0,0,0,22.53 g,8.438 g,10.105 g,2.080 g,62.00 mg,0.0 g,2.50 g,0.00 mg,0.00 mg,56.71 g
1,0.50237103,0.33366849,beef rib,animal,veal raw separable lean rib roast rib australian,veal raw separable lean rib roast rib australian,100 g,134.0,4.6g,58mg,83.00 mg,0,0,0,0,0,0,0,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0,0,0.0 mg,0,0,0,0,10.00 mg,0,1.58 mg,0,0,0,0,0,0,21.70 g,1.291 g,1.277 g,1.872 g,0.245 g,3.432 g,1.115 g,0.787 g,0.110 g,1.068 g,1.728 g,1.788 g,0.507 g,0.876 g,0.906 g,0.813 g,0.948 g,0.219 g,0.692 g,1.199 g,1.40 g,0.0 g,0.00 g,0,0,0,0,0,0,4.63 g,2.053 g,1.813 g,0.357 g,58.00 mg,0.0 g,1.01 g,0.00 mg,0.00 mg,71.26 g
2,0.50237103,0.4825417,beef roast,animal,sausage beef pork berliner,sausage beef pork berliner,100 g,230.0,17g,46mg,1297.00 mg,0,5.00 mcg,0.00 mcg,3.110 mg,0.690 mg,0.213 mg,0.380 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.67 mcg,0.200 mg,0.0 mg,13.00 IU,0,0,1.6 mcg,12.00 mg,0.080 mg,1.15 mg,15.00 mg,0.041 mg,130.00 mg,283.00 mg,14.1 mcg,2.47 mg,15.27 g,0.774 g,0.765 g,1.136 g,0.105 g,1.994 g,0.857 g,0.395 g,0,0.485 g,0.810 g,0.903 g,0.364 g,0.405 g,0.673 g,0.510 g,0.465 g,0.107 g,0.386 g,0.464 g,2.59 g,0.0 g,2.35 g,0,0,0,0,0,0,17.20 g,6.080 g,8.000 g,1.580 g,46.00 mg,0.0 g,3.97 g,0.00 mg,0.00 mg,60.97 g
3,0.50237103,0.325203658,beef flank steak separable lean fat trimmed 0 fat choice cooked braised,animal,beef braised cooked choice trimmed 0 fat separable lean fat steak flank,beef braised cooked choice trimmed 0 fat separable lean fat steak flank,100 g,263.0,16g,72mg,70.00 mg,0,9.00 mcg,0.00 mcg,4.420 mg,0.370 mg,0.180 mg,0.140 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,3.30 mcg,0.350 mg,0.0 mg,0,0.69 mg,0.69 mg,2.5 mcg,6.00 mg,0.119 mg,3.33 mg,23.00 mg,0.018 mg,256.00 mg,337.00 mg,30.4 mcg,5.77 mg,26.98 g,1.627 g,1.705 g,2.465 g,0.302 g,4.053 g,1.472 g,0.924 g,0.283 g,1.213 g,2.132 g,2.244 g,0.691 g,1.053 g,1.191 g,1.032 g,1.178 g,0.302 g,0.906 g,1.312 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,16.44 g,6.920 g,6.940 g,0.530 g,72.00 mg,0.0 g,2.04 g,0.00 mg,0.00 mg,54.95 g
4,0.50237103,0.325414234,beef rib eye steak boneless lip separable lean fat trimmed 0 fat select cooked grilled,animal,beef grilled cooked select trimmed 0 fat separable lean fat lip boneless rib eye steak,beef grilled cooked select trimmed 0 fat separable lean fat lip boneless rib eye steak,100 g,248.0,16g,77mg,58.00 mg,0,6.00 mcg,0.00 mcg,5.580 mg,0,0.291 mg,0.075 mg,25.00 IU,8.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.18 mcg,0.565 mg,0.0 mg,5.00 IU,0,0,1.6 mcg,10.00 mg,0.091 mg,2.28 mg,25.00 mg,0,170.00 mg,301.00 mg,35.8 mcg,6.50 mg,26.29 g,1.655 g,1.839 g,2.629 g,0.276 g,4.391 g,1.302 g,1.029 g,0.180 g,1.247 g,2.329 g,2.600 g,0.727 g,1.073 g,1.213 g,1.114 g,1.263 g,0.295 g,1.008 g,1.333 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,15.90 g,7.226 g,7.786 g,0.810 g,77.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,57.42 g
5,0.50237103,0.320887285,beef rib eye small end rib 1012 separable lean fat trimmed 0 fat choice cooked broiled,animal,beef broiled cooked choice trimmed 0 fat separable lean fat small end rib 1012 eye rib,beef broiled cooked choice trimmed 0 fat separable lean fat small end rib 1012 eye rib,100 g,265.0,17g,88mg,53.00 mg,0,8.00 mcg,0.00 mcg,7.209 mg,0.523 mg,0.117 mg,0.066 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.75 mcg,0.530 mg,0.0 mg,0,0.47 mg,0.47 mg,1.7 mcg,18.00 mg,0.088 mg,1.80 mg,22.00 mg,0.009 mg,201.00 mg,326.00 mg,28.9 mcg,4.79 mg,26.58 g,1.616 g,1.719 g,2.421 g,0.343 g,3.991 g,1.619 g,0.848 g,0.279 g,1.209 g,2.115 g,2.246 g,0.692 g,1.050 g,1.267 g,1.047 g,1.062 g,0.175 g,0.847 g,1.319 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,16.76 g,6.506 g,6.863 g,0.622 g,88.00 mg,0.0 g,1.08 g,0.00 mg,0.00 mg,55.87 g
6,0.50237103,0.311622155,beef rib small end rib 1012 separable lean fat trimmed 18 fat select cooked broiled,animal,beef broiled cooked select trimmed 18 fat separable lean fat small end rib 1012 rib,beef broiled cooked select trimmed 18 fat separable lean fat small end rib 1012 rib,100 g,278.0,18g,103mg,58.00 mg,0,8.00 mcg,0.00 mcg,7.098 mg,0.536 mg,0.142 mg,0.079 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.41 mcg,0.595 mg,0.0 mg,0,0.49 mg,0.49 mg,1.7 mcg,22.00 mg,0.075 mg,1.67 mg,23.00 mg,0.009 mg,219.00 mg,349.00 mg,29.6 mcg,4.97 mg,27.17 g,1.652 g,1.757 g,2.475 g,0.351 g,4.079 g,1.655 g,0.867 g,0.285 g,1.236 g,2.162 g,2.297 g,0.708 g,1.073 g,1.295 g,1.070 g,1.086 g,0.179 g,0.866 g,1.348 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,18.00 g,7.088 g,7.502 g,0.667 g,103.00 mg,0.0 g,1.06 g,0.00 mg,0.00 mg,54.36 g
7,0.50237103,0.374689315,beef variety meat byproduct tripe cooked simmered,animal,beef simmered cooked tripe variety meat byproduct,beef simmered cooked tripe variety meat byproduct,100 g,94.0,4.1g,157mg,68.00 mg,0,3.00 mcg,0.00 mcg,0.461 mg,0.097 mg,0.025 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.72 mcg,0.000 mg,0.0 mg,0,0.14 mg,0.14 mg,0.0 mcg,81.00 mg,0.000 mg,0.66 mg,15.00 mg,0.103 mg,66.00 mg,42.00 mg,11.8 mcg,1.71 mg,11.71 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99 g,0.0 g,0.00 g,0,0,0,0,0,0,4.05 g,1.357 g,1.604 g,0.208 g,157.00 mg,0.0 g,0.60 g,0.00 mg,0.00 mg,81.65 g
8,0.50237103,0.514399768,chuck steak,animal,cracker barrel grilled sirloin steak,cracker barrel grilled sirloin steak,100 g,203.0,8.5g,87mg,180.00 mg,0,0,0,6.403 mg,0.770 mg,0.350 mg,0.089 mg,23.00 IU,7.00 mcg,0,0,0,0,0.0,3.00 mcg,0.691 mg,0,0,0.46 mg,0.46 mg,1.0 mcg,7.00 mg,0.112 mg,2.75 mg,28.00 mg,0.020 mg,249.00 mg,408.00 mg,31.8 mcg,5.42 mg,31.52 g,1.923 g,2.238 g,3.142 g,0.315 g,5.127 g,1.502 g,1.219 g,0,1.618 g,2.795 g,3.100 g,0.830 g,1.376 g,1.345 g,1.271 g,1.523 g,0.410 g,1.145 g,2.889 g,0.00 g,0,0,0,0,0,0,0,0,8.52 g,3.045 g,3.405 g,0.742 g,87.00 mg,0,1.64 g,0,0,59.40 g
9,0.50237103,0.303581205,ground beef,animal,usda commodity cooked frozen ground bulkcoarse ground beef,usda commodity cooked frozen ground bulkcoarse ground beef,100 g,259.0,16g,89mg,95.00 mg,0,9.00 mcg,0.00 mcg,3.376 mg,0.574 mg,0.120 mg,0.071 mg,41.00 IU,12.00 mcg,0,0.00 mcg,0,0,0.0,3.06 mcg,0.132 mg,0.0 mg,0,0,0,0,9.00 mg,0.140 mg,3.01 mg,24.00 mg,0.016 mg,221.00 mg,333.00 mg,15.9 mcg,6.28 mg,26.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,16.34 g,5.744 g,7.504 g,0.620 g,89.00 mg,0.0 g,0.95 g,0.00 mg,0.00 mg,56.49 g
